TEAM_ID,TEAM_NAME,GROUP_ID,GROUP_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,PTS,PLUS_MINUS,PLAYER_NAMES,PTS_PER_MIN,AST_PER_MIN,TOV_PER_MIN,PACE
1610612750,Minnesota Timberwolves,-203497-203944-1628978-1630162-1630183-,R. Gobert - J. Randle - D. DiVincenzo - A. Edwards - J. McDaniels,54,33,21,0.611,709.703333,654,1298,0.504,219,546,0.401,257,342,0.751,171,525,696,392,225.0,110,82,1784,114.0,"['R. Gobert', 'J. Randle', 'D. DiVincenzo', 'A. Edwards', 'J. McDaniels']",2.5137263938987306,0.5523434677176583,0.31703387815426814,101.61857306650128
1610612752,New York Knicks,-1626157-1628384-1628404-1628969-1628973-,K. Towns - O. Anunoby - J. Hart - M. Bridges - J. Brunson,43,30,13,0.698,540.56,490,974,0.503,156,401,0.389,165,204,0.809,94,390,484,345,159.0,83,36,1301,20.0,"['K. Towns', 'O. Anunoby', 'J. Hart', 'M. Bridges', 'J. Brunson']",2.4067633565191655,0.6382270238271422,0.2941394109812047,100.23027970993044
1610612765,Detroit Pistons,-202699-1629130-1630595-1631105-1641709-,T. Harris - D. Robinson - C. Cunningham - J. Duren - A. Thompson,42,29,13,0.69,536.376667,535,1051,0.509,116,295,0.393,195,274,0.712,157,375,532,346,149.0,114,54,1381,130.0,"['T. Harris', 'D. Robinson', 'C. Cunningham', 'J. Duren', 'A. Thompson']",2.5746832123105756,0.6450690741922225,0.2777898614295987,104.12622963705468
1610612766,Charlotte Hornets,-1628970-1630163-1631217-1641706-1642851-,M. Bridges - L. Ball - M. Diabaté - B. Miller - K. Knueppel,49,34,15,0.694,509.246667,516,994,0.519,235,522,0.45,155,185,0.838,132,375,507,342,138.0,79,40,1422,280.0,"['M. Bridges', 'L. Ball', 'M. Diabaté', 'B. Miller', 'K. Knueppel']",2.7923599547093354,0.6715802422718655,0.27098851881145447,101.92938582355023
1610612737,Atlanta Hawks,-203468-1629638-1630168-1630552-1630700-,C. McCollum - N. Alexander-Walker - O. Okongwu - J. Johnson - D. Daniels,30,20,10,0.667,390.606667,382,766,0.499,131,309,0.424,149,188,0.793,99,274,373,256,99.0,82,34,1044,173.0,"['C. McCollum', 'N. Alexander', 'Walker', 'O. Okongwu', 'J. Johnson', 'D. Daniels']",2.6727654395105342,0.6553907591136943,0.25345189512599897,104.29560845155774
1610612745,Houston Rockets,-201142-1629006-1630578-1631095-1641708-,K. Durant - J. Okogie - A. Sengun - J. Smith Jr. - A. Thompson,41,27,14,0.659,376.788333,364,698,0.521,76,202,0.376,130,172,0.756,112,245,357,217,106.0,83,48,934,71.0,"['K. Durant', 'J. Okogie', 'A. Sengun', 'J. Smith Jr.', 'A. Thompson']",2.4788453309142136,0.5759201678890625,0.2813250589688508,97.79665868794297
1610612743,Denver Nuggets,-203932-203999-1627750-1629661-1631128-,A. Gordon - N. Jokić - J. Murray - C. Johnson - C. Braun,23,18,5,0.783,359.535,355,665,0.534,95,259,0.367,151,183,0.825,75,263,338,249,83.0,49,20,956,111.0,"['A. Gordon', 'N. Jokić', 'J. Murray', 'C. Johnson', 'C. Braun']",2.658990084414591,0.6925612249155159,0.23085374163850528,100.59927406233051
1610612761,Toronto Raptors,-1627742-1627751-1629628-1630193-1630567-,B. Ingram - J. Poeltl - R. Barrett - I. Quickley - S. Barnes,28,18,10,0.643,353.695,361,668,0.54,72,197,0.365,138,181,0.762,81,212,293,232,95.0,72,35,932,65.0,"['B. Ingram', 'J. Poeltl', 'R. Barrett', 'I. Quickley', 'S. Barnes']",2.6350386632550644,0.6559323711107027,0.2685929967910205,103.36227540677703
1610612751,Brooklyn Nets,-1629008-1629611-1629651-1641730-1642856-,M. Porter Jr. - T. Mann - N. Claxton - N. Clowney - E. Dëmin,19,7,12,0.368,306.983333,261,556,0.469,102,266,0.383,115,145,0.793,70,189,259,196,100.0,50,31,739,13.0,"['M. Porter Jr.', 'T. Mann', 'N. Claxton', 'N. Clowney', 'E. Dëmin']",2.4072968156873844,0.6384711446207406,0.3257505839901738,101.60291014887116
1610612745,Houston Rockets,-201142-1630578-1631095-1631106-1641708-,K. Durant - A. Sengun - J. Smith Jr. - T. Eason - A. Thompson,36,22,14,0.611,305.971667,287,567,0.506,64,165,0.388,93,122,0.762,89,219,308,182,95.0,50,34,731,55.0,"['K. Durant', 'A. Sengun', 'J. Smith Jr.', 'T. Eason', 'A. Thompson']",2.3891101001845376,0.5948263176930039,0.3104862647298646,98.31184793982901
